trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.00438007543246,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.58930258798452,"{0: 9, 1: 3, 2: 3, 3: 5, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.54774196947173,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.53463949823389,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-142.13698224228835,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,9,-59.291846731889436,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.48467190239059,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",35,0,-214.9758667842445,"{0: 22, 1: 5, 2: 3, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-156.42751222894964,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.71111145250751,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.9716696157456,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.52418773652064,"{0: 9, 1: 0, 2: 9, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.81026221370132,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-150.55667092407666,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.76720010372398,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.7766253416475,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.24978429293002,"{0: 10, 1: 6, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-96.3497032390679,"{0: 18, 1: 4, 2: 6, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-190.35313740061943,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-213.25572914720084,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-76.33123325599166,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-131.121695124633,"{0: 19, 1: 2, 2: 5, 3: 3, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-47.832322458374826,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,4,-77.33707596275111,"{0: 8, 1: 4, 2: 3, 3: 0, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-51.89534151081261,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-107.29461122616053,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-28.61123489435005,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-154.33585321166095,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-122.8463765125465,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-112.1254590088985,"{0: 9, 1: 2, 2: 7, 3: 2, 4: 0}",0
